rowid,ordid,orddt,shpdt,segmt,state,cono,prodid,categ,subct,prdna,sales,order_month,order_day,order_year,order_dayofweek,shipping_delay
49.0,CA-2023-154018,2023-10-13,2023-10-27,Consumer,Lurín,Sur,OFF-AR-10002067,Periféricos,Auriculares / Headsets,Sony WF-1000XM4 Inalámbricos Cancelación activa de ruido,257.15,10,13,2023,4,14
50.0,CA-2023-154018,2023-10-13,2023-10-27,Consumer,Independencia,Norte,OFF-BI-10004140,Periféricos,Webcams,Redragon M602 RGB Centrophorus Ratón Gamer,121.34,10,13,2023,4,14
51.0,CA-2023-164742,2023-10-13,2023-10-27,Corporate,Santa Rosa,Centro,FUR-CH-10002880,Almacenamiento,Pendrives / USB,Kingston DataTraveler Max 256GB USB-C 3.2 Gen 2,243.41,10,13,2023,4,14
52.0,CA-2023-164742,2023-10-13,2023-10-27,Corporate,Pueblo Libre,Centro,OFF-BI-10004738,Componentes,Procesadores (CPU),ASUS TUF Gaming B650-PLUS WiFi (Socket AM5),123.58,10,13,2023,4,14
53.0,US-2023-108098,2023-10-14,2023-10-28,Corporate,San Martín de Porres,Norte,TEC-AC-10000865,Periféricos,Mouse / Ratones,Beats Studio Buds Cancelación de ruido inalámbricos,200.5,10,14,2023,5,14
54.0,CA-2023-156503,2023-10-14,2023-10-28,Consumer,Villa El Salvador,Sur,FUR-CH-10003606,Almacenamiento,Pendrives / USB,PNY Turbo Attaché 4 128GB USB 3.0,140.49,10,14,2023,5,14
55.0,CA-2023-156503,2023-10-14,2023-10-28,Consumer,El Agustino,Este,OFF-PA-10002319,Periféricos,Impresoras,Corsair K95 RGB Platinum Teclado Mecánico,168.28,10,14,2023,5,14
56.0,CA-2023-156503,2023-10-14,2023-10-28,Consumer,El Agustino,Este,OFF-PA-10002377,Periféricos,Auriculares / Headsets,Logitech C920 HD Pro Webcam 1080p,191.5,10,14,2023,5,14
57.0,US-2023-146353,2023-10-14,2023-10-28,Corporate,Lurigancho-Chosica,Este,OFF-BI-10003476,Componentes,Placas base,Deepcool GAMMAXX 400 V2 Disipador de Aire para CPU,110.6,10,14,2023,5,14
58.0,US-2023-146353,2023-10-14,2023-10-28,Corporate,Lince,Centro,OFF-ST-10001469,Componentes,Fuentes de poder,AMD Ryzen 3 4100 4 núcleos 8 hilos,383.14,10,14,2023,5,14
59.0,CA-2023-163748,2023-10-14,2023-10-28,Consumer,Breña,Centro,OFF-AP-10004052,Componentes,Refrigeración,Kingston A2000 1TB NVMe M.2 SSD,312.31,10,14,2023,5,14
60.0,CA-2023-163748,2023-10-14,2023-10-28,Consumer,Cieneguilla,Este,TEC-CO-10002095,Periféricos,Mouse / Ratones,Hewlett Packard 610 Color Digital Copier / Printer,277.59,10,14,2023,5,14
61.0,CA-2023-125738,2023-10-15,2023-10-29,Home Office,Surco,Centro,OFF-PA-10001509,Periféricos,Monitores,Logitech MX Master 3S Ratón Inalámbrico Ergonómico,203.8,10,15,2023,6,14
62.0,CA-2023-124352,2023-10-15,2023-10-29,Home Office,Carabayllo,Norte,OFF-LA-10003223,Periféricos,Impresoras,Microsoft Sculpt Ergonomic Keyboard,322.09,10,15,2023,6,14
63.0,CA-2023-124352,2023-10-15,2023-10-29,Home Office,San Isidro,Centro,OFF-AP-10002651,Periféricos,Auriculares / Headsets,Hoover Upright Vacuum With Dirt Cup,259.21000000000004,10,15,2023,6,14
64.0,CA-2023-124352,2023-10-15,2023-10-29,Home Office,Pucusana,Sur,TEC-PH-10003442,Periféricos,Webcams,Logitech C920 HD Pro Webcam 1080p,273.15,10,15,2023,6,14
65.0,CA-2023-143182,2023-10-15,2023-10-29,Consumer,Villa El Salvador,Sur,FUR-FU-10004270,Almacenamiento,Discos externos,HP x796w 64GB USB 3.1,198.06,10,15,2023,6,14
66.0,CA-2023-142097,2023-10-15,2023-10-29,Corporate,Villa María del Triunfo,Sur,OFF-BI-10002082,Periféricos,Teclados,GBC Twin Loop Wire Binding Elements,321.85,10,15,2023,6,14
67.0,CA-2023-142097,2023-10-15,2023-10-29,Corporate,Jesús María,Centro,OFF-AP-10000696,Periféricos,Mouse / Ratones,Holmes Odor Grabber,257.99,10,15,2023,6,14
68.0,US-2023-122023,2023-10-15,2023-10-29,Consumer,Rímac,Centro,FUR-CH-10003761,Almacenamiento,Discos externos,Crucial X8 1TB SSD Externo,115.86,10,15,2023,6,14
67.0,US-2023-122023,2023-10-16,2023-10-30,Consumer,La Victoria,Centro,OFF-PA-10002230,Componentes,Tarjetas gráficas (GPU),AMD Ryzen 7 7700X 8 núcleos 16 hilos,137.25,10,16,2023,0,14
68.0,US-2023-122023,2023-10-16,2023-10-30,Consumer,La Victoria,Centro,OFF-PA-10002230,Componentes,Memoria RAM,Intel Core i3-12100 12ª Gen 4 núcleos,113.48,10,16,2023,0,14
69.0,US-2023-122023,2023-10-17,2023-10-31,Consumer,La Victoria,Centro,OFF-PA-10002230,Componentes,Discos duros (HDD),Intel Core i7-13700F 13ª Gen 16 núcleos,116.07,10,17,2023,1,14
70.0,CA-2023-141586,2023-10-17,2023-10-31,Home Office,El Agustino,Este,OFF-BI-10003981,Periféricos,Micrófonos,Razer DeathAdder V2 Ratón Gamer con cable,363.75,10,17,2023,1,14
71.0,CA-2023-110408,2023-10-18,2023-11-01,Corporate,Magdalena del Mar,Centro,OFF-ST-10001522,Periféricos,Teclados,"Gould Plastics 18-Pocket Panel Bin, 34w x 5-1/4d x 20-1/2h",112.1,10,18,2023,2,14
72.0,CA-2023-110408,2023-10-18,2023-11-01,Corporate,Villa María del Triunfo,Sur,TEC-PH-10002352,Periféricos,Mouse / Ratones,Razer Kiyo Pro Webcam Full HD con HDR y sensor Sony,309.04,10,18,2023,2,14
73.0,US-2023-159856,2023-10-18,2023-11-01,Consumer,Magdalena del Mar,Centro,FUR-CH-10003396,Almacenamiento,Pendrives / USB,SanDisk Extreme Pro 128GB USB 3.2 Gen 1,230.59,10,18,2023,2,14
74.0,CA-2023-138450,2023-10-18,2023-11-01,Corporate,Lurín,Sur,OFF-EN-10001335,Componentes,Procesadores (CPU),AMD Radeon RX 7900 XTX 24GB GDDR6,247.19,10,18,2023,2,14
75.0,CA-2023-138450,2023-10-18,2023-11-01,Corporate,Santa Anita,Este,OFF-ST-10003479,Componentes,Tarjetas gráficas (GPU),be quiet! Straight Power 11 750W 80 Plus Gold Modular,356.7,10,18,2023,2,14
76.0,CA-2023-115084,2023-10-18,2023-11-01,Corporate,Punta Negra,Sur,FUR-CH-10004626,Almacenamiento,Pendrives / USB,SanDisk Extreme Portable SSD 1TB Externo,371.95,10,18,2023,2,14
77.0,CA-2023-155516,2023-10-19,2023-11-02,Corporate,Breña,Centro,OFF-BI-10002412,Periféricos,Micrófonos,Canon imageCLASS MF743Cdw Impresora Láser a color,150.81,10,19,2023,3,14
78.0,CA-2023-155516,2023-10-19,2023-11-02,Corporate,Punta Negra,Sur,OFF-SU-10001225,Periféricos,Teclados,HP X3000 Ratón Inalámbrico Óptico,205.6,10,19,2023,3,14
79.0,CA-2023-155516,2023-10-20,2023-11-03,Corporate,Santa Anita,Este,FUR-BO-10002545,Almacenamiento,Pendrives / USB,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",162.61,10,20,2023,4,14
80.0,CA-2023-112340,2023-10-20,2023-11-03,Consumer,Surco,Centro,OFF-PA-10001892,Periféricos,Monitores,SteelSeries Rival 5 Ratón RGB para Juegos,249.68,10,20,2023,4,14
81.0,CA-2023-142587,2023-10-21,2023-11-04,Consumer,Punta Negra,Sur,FUR-TA-10000617,Almacenamiento,Discos externos,Kingston DataTraveler Exodia 128GB USB 3.2,306.18,10,21,2023,5,14
82.0,CA-2023-144729,2023-10-21,2023-11-04,Consumer,Jesús María,Centro,OFF-ST-10004804,Periféricos,Auriculares / Headsets,Apple AirPods Pro 2 gen MagSafe USB-C Cancelación de ruido,262.44,10,21,2023,5,14
83.0,CA-2023-111493,2023-10-21,2023-11-04,Consumer,Independencia,Norte,TEC-AC-10004510,Periféricos,Webcams,AverMedia PW513 4K UHD Webcam,382.73,10,21,2023,5,14
84.0,CA-2023-110072,2023-10-22,2023-11-05,Home Office,Punta Hermosa,Sur,FUR-FU-10000521,Almacenamiento,Discos externos,"Seth Thomas 14"" Putty-Colored Wall Clock",204.34,10,22,2023,6,14
85.0,CA-2023-165148,2023-10-22,2023-11-05,Home Office,Cieneguilla,Este,FUR-FU-10000732,Almacenamiento,Pendrives / USB,Eldon 200 Class Desk Accessories,300.05,10,22,2023,6,14
86.0,US-2023-116400,2023-10-22,2023-11-05,Consumer,Independencia,Norte,FUR-FU-10003731,Almacenamiento,Tarjetas de memoria,"Eldon Expressions Wood and Plastic Desk Accessories, Oak",323.22,10,22,2023,6,14
87.0,CA-2023-165484,2023-10-23,2023-11-06,Corporate,San Luis,Centro,FUR-FU-10001196,Almacenamiento,Discos externos,Samsung BAR Plus 64GB USB 3.1,347.18,10,23,2023,0,14
88.0,CA-2023-165484,2023-10-23,2023-11-06,Corporate,Villa El Salvador,Sur,OFF-PA-10000595,Periféricos,Impresoras,Brother MFC-J995DW Impresora Multifunción,240.28,10,23,2023,0,14
89.0,CA-2023-151323,2023-10-23,2023-11-06,Home Office,Barranco,Sur,OFF-FA-10002983,Componentes,Refrigeración,Advantus SlideClip Paper Clips,295.32,10,23,2023,0,14
90.0,CA-2023-108707,2023-10-24,2023-11-07,Home Office,Santa Rosa,Centro,OFF-PA-10000788,Periféricos,Webcams,Epson EcoTank ET-4760 Impresora Multifunción,326.76,10,24,2023,1,14
91.0,CA-2023-130729,2023-10-24,2023-11-07,Consumer,San Isidro,Centro,OFF-BI-10002706,Periféricos,Micrófonos,SteelSeries Rival 5 Ratón RGB para Juegos,186.47,10,24,2023,1,14
92.0,CA-2023-142545,2023-10-24,2023-11-07,Corporate,Lince,Centro,OFF-ST-10002756,Periféricos,Teclados,"Tennsco Stur-D-Stor Boltless Shelving, 5 Shelves, 24"" Deep, Sand",231.52,10,24,2023,1,14
93.0,CA-2023-142545,2023-10-24,2023-11-07,Corporate,Pucusana,Sur,OFF-PA-10004243,Periféricos,Mouse / Ratones,Genius WideCam F100 Ultra Wide Angle 1080p,265.9,10,24,2023,1,14
94.0,CA-2023-142545,2023-10-24,2023-11-07,Corporate,Punta Negra,Sur,FUR-FU-10001861,Almacenamiento,Pendrives / USB,"Floodlight Indoor Halogen Bulbs, 1 Bulb per Pack, 60 Watts",124.43,10,24,2023,1,14
95.0,CA-2023-134775,2023-10-24,2023-11-07,Corporate,Pucusana,Sur,OFF-PA-10004734,Periféricos,Impresoras,Jabra Elite 85t Bluetooth Cancelación de ruido activa,221.61,10,24,2023,1,14
96.0,CA-2023-134775,2023-10-24,2023-11-07,Corporate,Surquillo,Centro,OFF-BI-10002225,Periféricos,Auriculares / Headsets,Logitech M185 Ratón Inalámbrico Compacto,190.03,10,24,2023,1,14
97.0,CA-2023-144344,2023-10-24,2023-11-07,Consumer,San Martín de Porres,Norte,FUR-FU-10000076,Almacenamiento,Pendrives / USB,Samsung BAR Plus 64GB USB 3.1,202.99,10,24,2023,1,14
98.0,CA-2023-144344,2023-10-24,2023-11-07,Consumer,Ate,Este,OFF-BI-10003719,Periféricos,Micrófonos,Redragon M602 RGB Centrophorus Ratón Gamer,253.22,10,24,2023,1,14
99.0,CA-2023-144344,2023-10-24,2023-11-07,Consumer,Villa El Salvador,Sur,FUR-FU-10003268,Almacenamiento,Discos externos,Samsung T7 Portable SSD 1TB Externo,134.95999999999998,10,24,2023,1,14
100.0,CA-2023-144344,2023-10-24,2023-11-07,Consumer,Jesús María,Centro,FUR-FU-10003553,Almacenamiento,Pendrives / USB,Kingston DataTraveler Exodia 128GB USB 3.2,313.72,10,24,2023,1,14
101.0,US-2023-144393,2023-10-24,2023-11-07,Corporate,San Miguel,Centro,OFF-BI-10004236,Periféricos,Monitores,Razer DeathAdder V2 Ratón Gamer con cable,301.91,10,24,2023,1,14
102.0,CA-2023-101931,2023-10-24,2023-11-07,Corporate,Lurigancho-Chosica,Este,OFF-SU-10002301,Periféricos,Impresoras,Serrated Blade or Curved Handle Hand Letter Openers,170.19,10,24,2023,1,14
103.0,CA-2023-101931,2023-10-24,2023-11-07,Corporate,Pucusana,Sur,OFF-ST-10003442,Periféricos,Auriculares / Headsets,Logitech Brio 4K Ultra HD Webcam con HDR,276.14,10,24,2023,1,14
104.0,CA-2023-113047,2023-10-25,2023-11-08,Consumer,Ate,Este,OFF-FA-10002763,Periféricos,Webcams,Corsair K95 RGB Platinum Teclado Mecánico,220.4,10,25,2023,2,14
104.0,CA-2023-121748,2023-10-25,2023-11-08,Corporate,La Victoria,Centro,TEC-AC-10003063,Periféricos,Micrófonos,Micro Innovations USB RF Wireless Keyboard with Mouse,277.02,10,25,2023,2,14
105.0,CA-2023-153318,2023-10-25,2023-11-08,Corporate,San Luis,Centro,TEC-PH-10000984,Periféricos,Teclados,Panasonic KX-TG9471B,199.74,10,25,2023,2,14
106.0,CA-2023-162278,2023-10-26,2023-11-09,Consumer,Chorrillos,Sur,FUR-FU-10000448,Almacenamiento,Pendrives / USB,HP x796w 64GB USB 3.1,98.86,10,26,2023,3,14
107.0,CA-2023-162278,2023-10-26,2023-11-09,Consumer,San Juan de Miraflores,Sur,TEC-PH-10000526,Periféricos,Monitores,Vtech CS6719,110.14,10,26,2023,3,14
1.0,CA-2023-152632,2023-10-27,2023-11-10,Consumer,Barranco,Sur,FUR-FU-10002671,Almacenamiento,Pendrives / USB,PNY Turbo Attaché 4 128GB USB 3.0,161.29,10,27,2023,4,14
2.0,CA-2023-130162,2023-10-28,2023-11-11,Consumer,Santa Rosa,Centro,TEC-PH-10002563,Periféricos,Webcams,Logitech G213 Prodigy Teclado para Juegos con Retroiluminación RGB,290.46,10,28,2023,5,14
3.0,CA-2023-101931,2023-10-28,2023-11-11,Corporate,Jesús María,Centro,OFF-BI-10004140,Periféricos,Micrófonos,Beats Studio Buds Cancelación de ruido inalámbricos,211.78,10,28,2023,5,14
4.0,CA-2023-101931,2023-10-28,2023-11-11,Corporate,Breña,Centro,FUR-BO-10001337,Almacenamiento,Pendrives / USB,O'Sullivan Living Dimensions 2-Shelf Bookcases,332.78,10,28,2023,5,14
5.0,CA-2023-140641,2023-10-28,2023-11-11,Consumer,Comas,Norte,OFF-BI-10001191,Periféricos,Mouse / Ratones,Epson WorkForce WF-2830 Impresora Multifunción,112.27,10,28,2023,5,14
6.0,CA-2023-125815,2023-10-28,2023-11-11,Consumer,Los Olivos,Norte,OFF-AR-10004441,Componentes,Refrigeración,BIC Brite Liner Highlighters,165.67,10,28,2023,5,14
7.0,CA-2023-154627,2023-10-29,2023-11-12,Consumer,Miraflores,Centro,TEC-PH-10001363,Periféricos,Impresoras,Redragon M602 RGB Centrophorus Ratón Gamer,291.54,10,29,2023,6,14
8.0,CA-2023-112389,2023-10-29,2023-11-12,Corporate,San Isidro,Centro,OFF-ST-10000419,Periféricos,Auriculares / Headsets,HP OfficeJet Pro 9015 Impresora Multifunción,361.67,10,29,2023,6,14
9.0,CA-2023-112389,2023-10-29,2023-11-12,Corporate,Lurín,Sur,OFF-AP-10001626,Periféricos,Webcams,Beats Studio Buds Cancelación de ruido inalámbricos,340.77,10,29,2023,6,14
10.0,CA-2023-146682,2023-10-30,2023-11-13,Consumer,Villa María del Triunfo,Sur,FUR-FU-10002671,Almacenamiento,Pendrives / USB,Crucial X8 1TB SSD Externo,383.96,10,30,2023,0,14
11.0,CA-2023-106439,2023-10-30,2023-11-13,Corporate,San Isidro,Centro,OFF-ST-10003996,Periféricos,Teclados,Razer Kiyo Pro Webcam Full HD con HDR y sensor Sony,229.29,10,30,2023,0,14
12.0,CA-2023-106439,2023-10-30,2023-11-13,Corporate,Barranco,Sur,TEC-AC-10004568,Periféricos,Mouse,Microsoft Bluetooth Mouse Ratón Inalámbrico,253.32,10,30,2023,0,14
13.0,CA-2023-119165,2023-10-30,2023-11-13,Consumer,La Victoria,Centro,FUR-CH-10000988,Almacenamiento,Pendrives / USB,Kingston DataTraveler Exodia 128GB USB 3.2,193.63,10,30,2023,0,14
14.0,CA-2023-144218,2023-10-30,2023-11-13,Corporate,San Juan de Miraflores,Sur,OFF-ST-10002615,Periféricos,Impresoras,"Dual Level, Single-Width Filing Carts",325.76,10,30,2023,0,14
